"","File_name","ROI_number","Area_in_um2","IntDen_RFP","IntDen_GFP","Fluorescence_ratio_of_RFP_to_GFP","Genotype","Organ","Time_point_h","Treatment","Mean_ratio_for_KO","Normalized_ratio","Log_Normalized_ratio"
"1","-N 24h 823 root 1 image 1",1,15481.459,25390465.93,8926562.067,2.844,"WT","Root","24","no_N",2.6105,1.08944646619422,0.0856697380725244
"2","-N 24h 823 root 1 image 2",1,16759.331,28185762.201,9763093.732,2.887,"WT","Root","24","no_N",2.6105,1.10591840643555,0.100676126812328
"3","-N 24h 823 root 2 image 1",1,17248.636,23667750.406,8902856.899,2.658,"WT","Root","24","no_N",2.6105,1.01819574794101,0.0180321864225834
"4","-N 24h 823 root 2 image 2",1,17589.38,27591040.526,9622280.858,2.867,"WT","Root","24","no_N",2.6105,1.09825703888144,0.0937244130327628
"5","-N 24h 823 root 3 image 1",1,14865.272,30008366.259,9426291.225,3.183,"WT","Root","24","no_N",2.6105,1.21930664623635,0.198282374431486
"6","-N 24h 823 root 3 image 2",1,15644.058,26211709.22,8817256.428,2.973,"WT","Root","24","no_N",2.6105,1.13886228691821,0.130029770147491
"7","-N 24h 823 shoot 1 image 1",1,25313.152,90376813.733,19520450.4,4.63,"WT","Shoot","24","no_N",4.5325,1.02151130722559,0.0212832044512737
"8","-N 24h 823 shoot 1 image 2",1,25313.152,93562640.04,20065211.641,4.663,"WT","Shoot","24","no_N",4.5325,1.02879205736349,0.0283853541793149
"9","-N 24h 823 shoot 1 image 3",1,25313.152,109798154.677,20788584.904,5.282,"WT","Shoot","24","no_N",4.5325,1.16536127964699,0.153031150228072
"10","-N 24h 823 shoot 2 image 1",1,25313.152,50747856.47,14852446.161,3.417,"WT","Shoot","24","no_N",4.5325,0.753888582460011,-0.282510690513714
"11","-N 24h 823 shoot 2 image 2",1,25313.152,52295735.364,15319785.263,3.414,"WT","Shoot","24","no_N",4.5325,0.753226696083839,-0.28338903927462
"12","-N 24h 823 shoot 3 image 1",1,25313.152,69248226.535,19622038.302,3.529,"WT","Shoot","24","no_N",4.5325,0.778599007170436,-0.250259118953736
"13","-N 24h 823 shoot 3 image 2",1,25313.152,78906785.514,21125212.208,3.735,"WT","Shoot","24","no_N",4.5325,0.824048538334253,-0.193525845062088
"14","-N 2h 823 root 1 image 1",1,14347.38,35606708.387,7220268.462,4.931,"WT","Root","2","no_N",3.41016666666667,1.44597038267924,0.368780641285622
