"","File_name","ROI_number","Area_in_um2","IntDen_RFP","IntDen_GFP","Fluorescence_ratio_of_RFP_to_GFP","Genotype","Organ","Time_point_h","Treatment","Mean_ratio_for_KO","Normalized_ratio"
"1","-N 24h 823 root 1 image 1",1,15481.459,25390465.93,8926562.067,2.844,"WT","Root","24","no_N",2.6105,1.08944646619422
"2","-N 24h 823 root 1 image 2",1,16759.331,28185762.201,9763093.732,2.887,"WT","Root","24","no_N",2.6105,1.10591840643555
"3","-N 24h 823 root 2 image 1",1,17248.636,23667750.406,8902856.899,2.658,"WT","Root","24","no_N",2.6105,1.01819574794101
"4","-N 24h 823 root 2 image 2",1,17589.38,27591040.526,9622280.858,2.867,"WT","Root","24","no_N",2.6105,1.09825703888144
"5","-N 24h 823 root 3 image 1",1,14865.272,30008366.259,9426291.225,3.183,"WT","Root","24","no_N",2.6105,1.21930664623635
"6","-N 24h 823 root 3 image 2",1,15644.058,26211709.22,8817256.428,2.973,"WT","Root","24","no_N",2.6105,1.13886228691821
"7","-N 24h 823 shoot 1 image 1",1,25313.152,90376813.733,19520450.4,4.63,"WT","Shoot","24","no_N",4.5325,1.02151130722559
"8","-N 24h 823 shoot 1 image 2",1,25313.152,93562640.04,20065211.641,4.663,"WT","Shoot","24","no_N",4.5325,1.02879205736349
"9","-N 24h 823 shoot 1 image 3",1,25313.152,109798154.677,20788584.904,5.282,"WT","Shoot","24","no_N",4.5325,1.16536127964699
"10","-N 24h 823 shoot 2 image 1",1,25313.152,50747856.47,14852446.161,3.417,"WT","Shoot","24","no_N",4.5325,0.753888582460011
"11","-N 24h 823 shoot 2 image 2",1,25313.152,52295735.364,15319785.263,3.414,"WT","Shoot","24","no_N",4.5325,0.753226696083839
"12","-N 24h 823 shoot 3 image 1",1,25313.152,69248226.535,19622038.302,3.529,"WT","Shoot","24","no_N",4.5325,0.778599007170436
"13","-N 24h 823 shoot 3 image 2",1,25313.152,78906785.514,21125212.208,3.735,"WT","Shoot","24","no_N",4.5325,0.824048538334253
"14","-N 24h 824 root 1 image 1",1,12855.451,22527521.064,8126048.701,2.772,"KO","Root","24","no_N",2.6105,1.06186554299943
"15","-N 24h 824 root 1 image 2",1,13340.936,22701568.544,8441864.43,2.689,"KO","Root","24","no_N",2.6105,1.03007086764988
"16","-N 24h 824 root 2 image 1",1,13737.154,18883557.948,7715698.399,2.447,"KO","Root","24","no_N",2.6105,0.937368320245164
"17","-N 24h 824 root 2 image 2",1,15014.173,20615565.521,8494702.399,2.427,"KO","Root","24","no_N",2.6105,0.929706952691055
"18","-N 24h 824 root 3 image 1",1,15381.9,23014742.644,8638973.058,2.664,"KO","Root","24","no_N",2.6105,1.02049415820724
"19","-N 24h 824 root 3 image 2",1,14720.362,22008319.878,8262691.207,2.664,"KO","Root","24","no_N",2.6105,1.02049415820724
"20","-N 24h 824 shoot 1 image 1",1,25313.152,71257643.162,18623239.772,3.826,"KO","Shoot","24","no_N",4.5325,0.844125758411473
"21","-N 24h 824 shoot 1 image 2",1,25313.152,68547910.867,19023809.111,3.603,"KO","Shoot","24","no_N",4.5325,0.794925537782681
"22","-N 24h 824 shoot 2 image 1",1,25313.152,153448232.501,27842622.429,5.511,"KO","Shoot","24","no_N",4.5325,1.21588527302813
"23","-N 24h 824 shoot 2 image 2",1,25313.152,163998692.136,27526659.064,5.958,"KO","Shoot","24","no_N",4.5325,1.31450634307777
"24","-N 24h 824 shoot 3 image 1",1,25313.152,79814942.693,19627832.371,4.066,"KO","Shoot","24","no_N",4.5325,0.89707666850524
"25","-N 24h 824 shoot 3 image 2",1,25313.152,84376992.268,19942993.082,4.231,"KO","Shoot","24","no_N",4.5325,0.933480419194705
"26","-N 2h 823 root 1 image 1",1,14347.38,35606708.387,7220268.462,4.931,"WT","Root","2","no_N",3.41016666666667,1.44597038267924
"27","-N 2h 823 root 1 image 2",1,15560.143,54844181.302,8488415.156,6.461,"WT","Root","2","no_N",3.41016666666667,1.89462880602121
"28","-N 2h 823 root 2 image 1",1,18879.271,40523811.679,10046557.7,4.034,"WT","Root","2","no_N",3.41016666666667,1.18293338546503
"29","-N 2h 823 root 2 image 2",1,16642.643,44498915.272,9254636.962,4.808,"WT","Root","2","no_N",3.41016666666667,1.40990176433214
"30","-N 2h 823 root 3 image 1",1,12830.586,24369720.114,7008911.625,3.477,"WT","Root","2","no_N",3.41016666666667,1.01959826010459
"31","-N 2h 823 root 3 image 2",1,11859.129,26584897.46,6809531.067,3.904,"WT","Root","2","no_N",3.41016666666667,1.14481208152094
"32","-N 2h 823 shoot 1 image 1",1,25313.152,34263859.016,28553132.65,1.2,"WT","Shoot","2","no_N",1.72,0.697674418604651
"33","-N 2h 823 shoot 1 image 2",1,25313.152,34143392.622,27972600.013,1.221,"WT","Shoot","2","no_N",1.72,0.709883720930233
"34","-N 2h 823 shoot 2 image 1",1,25313.152,29062377.767,23229874.727,1.251,"WT","Shoot","2","no_N",1.72,0.727325581395349
"35","-N 2h 823 shoot 2 image 2",1,25313.152,32276832.461,25254901.18,1.278,"WT","Shoot","2","no_N",1.72,0.743023255813954
"36","-N 2h 823 shoot 3 image 1",1,25313.152,30908769.57,26167773.943,1.181,"WT","Shoot","2","no_N",1.72,0.686627906976744
"37","-N 2h 823 shoot 3 image 2",1,25313.152,29667684.86,25003319.959,1.187,"WT","Shoot","2","no_N",1.72,0.690116279069767
"38","-N 2h 824 root 1 image 1",1,13639.614,26441131.701,7666002.726,3.449,"KO","Root","2","no_N",3.41016666666667,1.01138751771663
"39","-N 2h 824 root 1 image 2",1,15929.476,39662666.235,9924933.869,3.996,"KO","Root","2","no_N",3.41016666666667,1.17179023508137
"40","-N 2h 824 root 2 image 1",1,13563.266,23443050.662,8288316.272,2.828,"KO","Root","2","no_N",3.41016666666667,0.829284981183715
"41","-N 2h 824 root 2 image 2",1,13066.443,26327012.816,8678926.452,3.033,"KO","Root","2","no_N",3.41016666666667,0.889399345095548
"42","-N 2h 824 root 3 image 1",1,16352.603,33347818.776,9589098.294,3.478,"KO","Root","2","no_N",3.41016666666667,1.01989150090416
"43","-N 2h 824 root 3 image 2",1,18443.346,40319298.857,10964608.857,3.677,"KO","Root","2","no_N",3.41016666666667,1.07824642001857
"44","-N 2h 824 shoot 1 image 1",1,25313.152,53640955.228,43937375.99,1.221,"KO","Shoot","2","no_N",1.72,0.709883720930233
"45","-N 2h 824 shoot 1 image 2",1,25313.152,42580052.212,34887532.986,1.22,"KO","Shoot","2","no_N",1.72,0.709302325581395
"46","-N 2h 824 shoot 2 image 1",1,25313.152,42980220.564,15247092.553,2.819,"KO","Shoot","2","no_N",1.72,1.63895348837209
"47","-N 2h 824 shoot 2 image 2",1,25313.152,52919394.662,19531305.883,2.709,"KO","Shoot","2","no_N",1.72,1.575
"48","-N 2h 824 shoot 3 image 1",1,25313.152,40202175.313,34876355.103,1.153,"KO","Shoot","2","no_N",1.72,0.670348837209302
"49","-N 2h 824 shoot 3 image 2",1,25313.152,39539687.917,33013278.054,1.198,"KO","Shoot","2","no_N",1.72,0.696511627906977
"50","AZD 24h 823 root 1 image 1",1,14098.725,79880178.924,32916588.505,2.427,"WT","Root","24","AZD",1.27577777777778,1.90236892527434
"51","AZD 24h 823 root 1 image 2",1,13852.26,74171817.478,27682661.119,2.679,"WT","Root","24","AZD",1.27577777777778,2.09989548859084
"52","AZD 24h 823 root 1 image 3",1,15839.308,80355471.45,27852645.381,2.885,"WT","Root","24","AZD",1.27577777777778,2.26136561574639
"53","AZD 24h 823 root 2 image 1",1,12706.258,63203907.571,32879316.276,1.922,"WT","Root","24","AZD",1.27577777777778,1.50653196307264
"54","AZD 24h 823 root 2 image 2",1,15969.961,63979499.696,32539537.625,1.966,"WT","Root","24","AZD",1.27577777777778,1.54102072809615
"55","AZD 24h 823 root 2 image 3",1,12594.242,62731108.015,25556678.279,2.455,"WT","Root","24","AZD",1.27577777777778,1.9243163211984
"56","AZD 24h 823 root 3 image 1",1,12905.523,62458856.819,37236214.069,1.677,"WT","Root","24","AZD",1.27577777777778,1.31449224873715
"57","AZD 24h 823 root 3 image 2",1,12232.841,59745013.059,35008486.422,1.707,"WT","Root","24","AZD",1.27577777777778,1.33800731579864
"58","AZD 24h 823 root 3 image 3",1,14375.457,61731170.296,36302849.502,1.7,"WT","Root","24","AZD",1.27577777777778,1.33252046681763
"59","AZD 24h 823 shoot 1 image 1",1,25313.152,50545751.561,24850949.285,2.034,"WT","Shoot","24","AZD",1.16755555555556,1.74210125618576
"60","AZD 24h 823 shoot 1 image 2",1,25313.152,43351115.633,25133339.342,1.725,"WT","Shoot","24","AZD",1.16755555555556,1.47744575561477
"61","AZD 24h 823 shoot 1 image 3",1,25313.152,41872157.513,27410278.102,1.528,"WT","Shoot","24","AZD",1.16755555555556,1.3087171678721
"62","AZD 24h 823 shoot 2 image 1",1,25313.152,42604695.65,24104205.516,1.768,"WT","Shoot","24","AZD",1.16755555555556,1.5142748382185
"63","AZD 24h 823 shoot 2 image 2",1,25313.152,51860490.584,38369106.587,1.352,"WT","Shoot","24","AZD",1.16755555555556,1.15797487628474
"64","AZD 24h 823 shoot 2 image 3",1,25313.152,69206397.792,34644731.929,1.998,"WT","Shoot","24","AZD",1.16755555555556,1.7112676056338
"65","AZD 24h 823 shoot 3 image 1",1,25313.152,60136673.891,27817668.78,2.162,"WT","Shoot","24","AZD",1.16755555555556,1.85173201370384
"66","AZD 24h 823 shoot 3 image 2",1,25313.152,38208670.571,21603491.852,1.769,"WT","Shoot","24","AZD",1.16755555555556,1.51513132851161
"67","AZD 24h 823 shoot 3 image 3",1,25313.152,48599212.204,25480396.352,1.907,"WT","Shoot","24","AZD",1.16755555555556,1.63332698896079
"68","AZD 24h 824 root 1 image 1",1,15621.163,40631206.74,32651276.675,1.244,"KO","Root","24","AZD",1.27577777777778,0.975091447483017
"69","AZD 24h 824 root 1 image 2",1,14705.958,41320378.88,32227986.082,1.282,"KO","Root","24","AZD",1.27577777777778,1.00487719909423
"70","AZD 24h 824 root 1 image 3",1,12619.132,38868942.871,30654621.779,1.268,"KO","Root","24","AZD",1.27577777777778,0.993903501132207
"71","AZD 24h 824 root 2 image 1",1,12109.487,25613103.786,21263558.242,1.205,"KO","Root","24","AZD",1.27577777777778,0.944521860303083
"72","AZD 24h 824 root 2 image 2",1,12469.793,25873794.093,22015998.882,1.175,"KO","Root","24","AZD",1.27577777777778,0.921006793241596
"73","AZD 24h 824 root 2 image 3",1,13316.046,28517286.39,24338420.222,1.172,"KO","Root","24","AZD",1.27577777777778,0.918655286535447
"74","AZD 24h 824 root 3 image 1",1,16692.471,42235153.754,29689263.738,1.423,"KO","Root","24","AZD",1.27577777777778,1.11539801428323
"75","AZD 24h 824 root 3 image 2",1,16485.811,43726713.805,31886091.92,1.371,"KO","Root","24","AZD",1.27577777777778,1.07463856470998
"76","AZD 24h 824 root 3 image 3",1,16162.559,38015706.084,28317673.891,1.342,"KO","Root","24","AZD",1.27577777777778,1.05190733321721
"77","AZD 24h 824 shoot 1 image 1",1,25313.152,90664835.431,81989949.351,1.106,"KO","Shoot","24","AZD",1.16755555555556,0.947278264179673
"78","AZD 24h 824 shoot 1 image 2",1,25313.152,65752773.618,58133049.314,1.131,"KO","Shoot","24","AZD",1.16755555555556,0.968690521507423
"79","AZD 24h 824 shoot 1 image 3",1,25313.152,78309191.268,67708663.975,1.157,"KO","Shoot","24","AZD",1.16755555555556,0.990959269128283
"80","AZD 24h 824 shoot 2 image 1",1,25313.152,46856197.523,40659058.531,1.152,"KO","Shoot","24","AZD",1.16755555555556,0.986676817662733
"81","AZD 24h 824 shoot 2 image 2",1,25313.152,65382368.973,52652424.874,1.242,"KO","Shoot","24","AZD",1.16755555555556,1.06376094404263
"82","AZD 24h 824 shoot 2 image 3",1,25313.152,58787404.75,48904557.354,1.202,"KO","Shoot","24","AZD",1.16755555555556,1.02950133231823
"83","AZD 24h 824 shoot 3 image 1",1,25313.152,42560307.515,37174882.594,1.145,"KO","Shoot","24","AZD",1.16755555555556,0.980681385610963
"84","AZD 24h 824 shoot 3 image 2",1,25313.152,45416372.09,38158770.378,1.19,"KO","Shoot","24","AZD",1.16755555555556,1.01922344880091
"85","AZD 24h 824 shoot 3 image 3",1,25313.152,42332173.392,35777470.437,1.183,"KO","Shoot","24","AZD",1.16755555555556,1.01322801674914
"86","AZD 2h 823 root 1 image 1",1,13614.724,53234346.523,36563465.163,1.456,"WT","Root","2","AZD",1.38633333333333,1.05025246453474
"87","AZD 2h 823 root 1 image 2",1,14198.187,46784820.201,31502640.515,1.485,"WT","Root","2","AZD",1.38633333333333,1.07117095455638
"88","AZD 2h 823 root 2 image 1",1,11562.446,33609525.161,21907156.635,1.534,"WT","Root","2","AZD",1.38633333333333,1.10651598942053
"89","AZD 2h 823 root 2 image 2",1,13775.474,50798352.632,34737161.015,1.462,"WT","Root","2","AZD",1.38633333333333,1.0545804279875
"90","AZD 2h 823 root 3 image 1",1,17099.297,45239407.661,27821912.042,1.626,"WT","Root","2","AZD",1.38633333333333,1.17287809569608
"91","AZD 2h 823 root 3 image 2",1,14411.198,49245558.963,30615170.22,1.609,"WT","Root","2","AZD",1.38633333333333,1.16061553257995
"92","AZD 2h 823 shoot 1 image 1",1,25313.152,52054415.312,28071088.83,1.854,"WT","Shoot","2","AZD",1.2965,1.43000385653683
"93","AZD 2h 823 shoot 1 image 2",1,25313.152,54578164.747,26774187.769,2.038,"WT","Shoot","2","AZD",1.2965,1.57192441187813
"94","AZD 2h 823 shoot 2 image 1",1,25313.152,44672975.306,20641547.754,2.164,"WT","Shoot","2","AZD",1.2965,1.66910913999229
"95","AZD 2h 823 shoot 2 image 2",1,25313.152,46138830.999,21160589.966,2.18,"WT","Shoot","2","AZD",1.2965,1.68145005784805
"96","AZD 2h 823 shoot 3 image 1",1,25313.152,46870358.727,26715360.311,1.754,"WT","Shoot","2","AZD",1.2965,1.3528731199383
"97","AZD 2h 823 shoot 3 image 2",1,25313.152,44895689.803,25887092.816,1.734,"WT","Shoot","2","AZD",1.2965,1.33744697261859
"98","AZD 2h 824 root 1 image 1",1,13750.608,21760090.921,16308004.019,1.334,"KO","Root","2","AZD",1.38633333333333,0.962250540995432
"99","AZD 2h 824 root 1 image 2",1,12021.776,17934794.109,13456271.074,1.333,"KO","Root","2","AZD",1.38633333333333,0.961529213753306
"100","AZD 2h 824 root 2 image 1",1,13128.971,13900094.492,11033205.333,1.26,"KO","Root","2","AZD",1.38633333333333,0.908872325078144
"101","AZD 2h 824 root 2 image 2",1,14057.339,18550360.668,13455056.875,1.379,"KO","Root","2","AZD",1.38633333333333,0.99471026689108
"102","AZD 2h 824 root 3 image 1",1,12917.396,19039978.41,12456932.584,1.528,"KO","Root","2","AZD",1.38633333333333,1.10218802596778
"103","AZD 2h 824 root 3 image 2",1,13685.452,22948390.898,15463444.553,1.484,"KO","Root","2","AZD",1.38633333333333,1.07044962731426
"104","AZD 2h 824 shoot 1 image 1",1,25313.152,51863183.671,40153073.759,1.292,"KO","Shoot","2","AZD",1.2965,0.996529116853066
"105","AZD 2h 824 shoot 1 image 2",1,25313.152,47663811.466,37152208.759,1.283,"KO","Shoot","2","AZD",1.2965,0.989587350559198
"106","AZD 2h 824 shoot 2 image 1",1,25313.152,46722900.056,36156355.329,1.292,"KO","Shoot","2","AZD",1.2965,0.996529116853066
"107","AZD 2h 824 shoot 2 image 2",1,25313.152,51552148.853,38456750.14,1.341,"KO","Shoot","2","AZD",1.2965,1.03432317778635
"108","AZD 2h 824 shoot 3 image 1",1,25313.152,80385667.943,63187971.137,1.272,"KO","Shoot","2","AZD",1.2965,0.981102969533359
"109","AZD 2h 824 shoot 3 image 2",1,25313.152,62785404.312,48351222.317,1.299,"KO","Shoot","2","AZD",1.2965,1.00192826841496
"110","mock 823 root 1 image 1",1,20011.404,42555818.178,34987651.002,1.216,"WT","Root","0","mock",1.52683333333333,0.796419604846632
"111","mock 823 root 1 image 2",1,15640.384,35529656.044,27824154.071,1.277,"WT","Root","0","mock",1.52683333333333,0.836371575155551
"112","mock 823 root 2 image 1",1,15038.99,34089595.313,25709899.196,1.326,"WT","Root","0","mock",1.52683333333333,0.868464141469272
"113","mock 823 root 2 image 2",1,15670.992,44872696.828,33357653.339,1.345,"WT","Root","0","mock",1.52683333333333,0.880908197795001
"114","mock 823 root 3 image 1",1,13278.164,30728881.574,21761573.337,1.412,"WT","Root","0","mock",1.52683333333333,0.924789870101517
"115","mock 823 root 3 image 2",1,16883.658,40097005.468,29360473.413,1.366,"WT","Root","0","mock",1.52683333333333,0.894662154786595
"116","mock 823 shoot 1 image 1",1,25313.152,56582192.427,27264018.935,2.075,"WT","Shoot","0","mock",1.34266666666667,1.54543197616683
"117","mock 823 shoot 1 image 2",1,25313.152,47212003.554,23506662.072,2.008,"WT","Shoot","0","mock",1.34266666666667,1.49553128103277
"118","mock 823 shoot 2 image 1",1,25313.152,48358984.36,23545378.08,2.054,"WT","Shoot","0","mock",1.34266666666667,1.52979145978153
"119","mock 823 shoot 2 image 2",1,25313.152,50437592.215,27258711.567,1.85,"WT","Shoot","0","mock",1.34266666666667,1.37785501489573
"120","mock 823 shoot 3 image 1",1,25313.152,42558910.767,22557812.152,1.887,"WT","Shoot","0","mock",1.34266666666667,1.40541211519364
"121","mock 823 shoot 3 image 2",1,25313.152,52135182.903,24075152.933,2.166,"WT","Shoot","0","mock",1.34266666666667,1.61320754716981
"122","mock 824 root 1 image 1",1,15540.922,27986718.129,19333923.492,1.448,"KO","Root","0","mock",1.52683333333333,0.948368082087108
"123","mock 824 root 1 image 2",1,12718.691,30822907.5,21255772.137,1.45,"KO","Root","0","mock",1.52683333333333,0.949677982752975
"124","mock 824 root 2 image 1",1,13291.156,38501977.107,24596462.185,1.565,"KO","Root","0","mock",1.52683333333333,1.02499727104028
"125","mock 824 root 2 image 2",1,16767.773,33136957.569,22672682.233,1.462,"KO","Root","0","mock",1.52683333333333,0.957537386748172
"126","mock 824 root 3 image 1",1,14098.725,34593019.695,21765992.336,1.589,"KO","Root","0","mock",1.52683333333333,1.04071607903067
"127","mock 824 root 3 image 2",1,14201.058,32158284.139,19527946.295,1.647,"KO","Root","0","mock",1.52683333333333,1.07870319834079
