File name,ROI number,Area in um2,IntDen RFP,IntDen GFP,Fluorescence ratio of RFP to GFP
-N 24h 823 root 1 image 1,1,15481.459,25390465.930,8926562.067,2.844
-N 24h 823 root 1 image 2,1,16759.331,28185762.201,9763093.732,2.887
-N 24h 823 root 2 image 1,1,17248.636,23667750.406,8902856.899,2.658
-N 24h 823 root 2 image 2,1,17589.380,27591040.526,9622280.858,2.867
-N 24h 823 root 3 image 1,1,14865.272,30008366.259,9426291.225,3.183
-N 24h 823 root 3 image 2,1,15644.058,26211709.220,8817256.428,2.973
-N 24h 823 shoot 1 image 1,1,25313.152,90376813.733,19520450.400,4.630
-N 24h 823 shoot 1 image 2,1,25313.152,93562640.040,20065211.641,4.663
-N 24h 823 shoot 1 image 3,1,25313.152,109798154.677,20788584.904,5.282
-N 24h 823 shoot 2 image 1,1,25313.152,50747856.470,14852446.161,3.417
-N 24h 823 shoot 2 image 2,1,25313.152,52295735.364,15319785.263,3.414
-N 24h 823 shoot 3 image 1,1,25313.152,69248226.535,19622038.302,3.529
-N 24h 823 shoot 3 image 2,1,25313.152,78906785.514,21125212.208,3.735
-N 24h 824 root 1 image 1,1,12855.451,22527521.064,8126048.701,2.772
-N 24h 824 root 1 image 2,1,13340.936,22701568.544,8441864.430,2.689
-N 24h 824 root 2 image 1,1,13737.154,18883557.948,7715698.399,2.447
-N 24h 824 root 2 image 2,1,15014.173,20615565.521,8494702.399,2.427
-N 24h 824 root 3 image 1,1,15381.900,23014742.644,8638973.058,2.664
-N 24h 824 root 3 image 2,1,14720.362,22008319.878,8262691.207,2.664
-N 24h 824 shoot 1 image 1,1,25313.152,71257643.162,18623239.772,3.826
-N 24h 824 shoot 1 image 2,1,25313.152,68547910.867,19023809.111,3.603
-N 24h 824 shoot 2 image 1,1,25313.152,153448232.501,27842622.429,5.511
-N 24h 824 shoot 2 image 2,1,25313.152,163998692.136,27526659.064,5.958
-N 24h 824 shoot 3 image 1,1,25313.152,79814942.693,19627832.371,4.066
-N 24h 824 shoot 3 image 2,1,25313.152,84376992.268,19942993.082,4.231
-N 2h 823 root 1 image 1,1,14347.380,35606708.387,7220268.462,4.931
-N 2h 823 root 1 image 2,1,15560.143,54844181.302,8488415.156,6.461
-N 2h 823 root 2 image 1,1,18879.271,40523811.679,10046557.700,4.034
-N 2h 823 root 2 image 2,1,16642.643,44498915.272,9254636.962,4.808
-N 2h 823 root 3 image 1,1,12830.586,24369720.114,7008911.625,3.477
-N 2h 823 root 3 image 2,1,11859.129,26584897.460,6809531.067,3.904
-N 2h 823 shoot 1 image 1,1,25313.152,34263859.016,28553132.650,1.200
-N 2h 823 shoot 1 image 2,1,25313.152,34143392.622,27972600.013,1.221
-N 2h 823 shoot 2 image 1,1,25313.152,29062377.767,23229874.727,1.251
